ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
79109,Ralph Harold Metcalfe,M,26,180,82,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,Silver
79111,Malia Metella,F,22,175,67,France,FRA,2004 Summer,2004,Summer,"Athens,GR",Swimming,Swimming Women's 50 metres Freestyle,Silver
79112,Mehdy Metella,M,24,190,90,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
79121,Caren Metschuck (-Mahn),F,16,184,76,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,Silver
79121,Caren Metschuck (-Mahn),F,16,184,76,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
79121,Caren Metschuck (-Mahn),F,16,184,76,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,Gold
79121,Caren Metschuck (-Mahn),F,16,184,76,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
79125,"William Roy ""Bill"" Mettler, Jr.",M,17,180,77,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
79127,St. Eloi Metullus,M,NA,NA,NA,Haiti,HAI,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Bronze
79132,Lothar Metz,M,21,184,90,Germany,GER,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
79132,Lothar Metz,M,25,184,90,Germany,GER,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
79132,Lothar Metz,M,29,184,90,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
79137,Karin Metze (-Ulbricht),F,19,180,82,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Gold
